usuario,num_tweets,num_amigos,num_seguidores
Longa41366499,0,23,0
FelipeMonteroC3,736,145,14
Luislir37590649,1,20,0
Geraldi30268408,0,20,0
leivacan,5,73,3
Vector05542099,1,37,1
skiesxd1,0,8,0
Cris70342433,0,51,0
Yolanda85327706,0,58,0
masajepareja,353,2890,2776
alejand82598253,2,30,0
Katheri46844683,0,14,0
ivhott3,164,84,6
DaniloCisterna9,3,47,3
patty26352885,0,79,12
anwandter07,31,10,7
GiovaniMolina9,4,38,0
marco66herrera,2,27,4
CofreVegas,0,164,45
Joaquin84072802,1,14,0
Benjami93794459,1,8,0
JavieraRios4,0,32,1
SilvaRodigo,161,170,6
Nelson68318163,0,11,0
SelenofiliaL,17,264,5
Cesar15640296,1,60,1
JessPin68723096,12,79,1
mallea_clau,1,101,3
AnaElenaBarria1,0,35,1
Rutgia,63783,1527,330
Gabriel02744406,0,63,7
Nelson30374376,2,92,0
AmacristiP,0,41,1
CesarRi11107977,0,26,0
MarioZi12817978,0,54,3
LuisBasualto12,0,30,0
Gloriam26335442,31,66,2
24genco,8152,822,579
ale_paradise93,82,71,14
DionFortune6,66,124,4
JudiaAron,52,203,54
Macaren31303815,1,60,0
Marce4172,6351,744,290
Diegs87711149,0,17,0
charleshein93,0,105,1
CMIRAND88302978,0,71,0
mbmmaipo,16004,679,360
Mathelo16,0,57,2
andres16552382,129,106,3
kam190,34,38,4
PABLOALBORNOZ21,234,80,9
ohhhKarol,2,212,21
evedafazu,71,54,5
Anita48877237,0,33,0
Su27809528,0,55,0
Julio01438910,0,13,1
Kite90666948,0,37,0
CorvMauro,430,60,25
Mr_Hadray,16577,2127,2065
Elizabe36233624,2,12,0
cami2672,3,124,10
JoseAnt54146527,0,39,0
JesseniaLobos,1,9,0
LeticiaRiveraL,12,26,5
MarioCa49795871,0,9,0
EduardoUrquejo,2,78,2
pablo33823662,2,4,0
mnesitheos,5,50,3
mvallepintor,1294,582,136
MaraJos77157542,0,22,0
clauxilena,1260,383,26
Alejandro198215,0,75,2
JorgeSa65669897,0,19,0
1960Thesociety,0,29,0
FcoUlloaMontes,1843,349,232
LoretoCorrea4,11,38,3
Cristia04788564,0,113,2
cbazignan1,8,10,6
moonniexiao,25,134,12
mogulhd2k,306,479,28
LuisArane2,4,163,0
Jackson65509971,370,2514,80
Angel77865380,2,6,0
Daniza14975747,2,1870,91
maicolpalomin11,2,37,0
Gataconstituci1,3,34,0
Francis53916571,0,11,0
caroherreo,1947,967,369
MariaEs67438550,0,80,1
Alexrey14533642,34,14,3
OROAZUL14,254,498,31
yeseniaarancib6,0,52,1
AEcosofia,4,43,2
jfgallard,34,54,13
